Hand,Player Profit,Running Count,True Count,Current Bet Size,Player Wins,Dealer Wins,Ties,Player Blackjacks,Dealer Blackjacks
1,0,-4,0,10,0,0,1,0,0
2,10,-8,-1,10,1,0,1,0,0
3,20,-8,-2,10,2,0,1,0,0
4,30,-7,-2,10,3,0,1,0,0
5,20,-7,-2,10,3,1,1,0,0
6,30,-8,-2,10,1,1,1,0,0
7,20,-3,-2,10,1,2,1,0,0
8,50,-4,-1,10,3,2,1,0,0
9,40,1,-1,10,3,3,1,0,0
10,50,6,0,10,1,3,1,0,0
11,40,9,1,10,1,4,1,0,0
12,50,5,1,10,2,4,1,0,0
13,60,8,1,10,1,4,1,0,0
14,50,7,1,10,1,5,1,0,0
15,40,1,1,10,1,6,1,0,0
16,30,-4,0,10,1,7,1,0,0
17,40,0,-1,10,2,7,1,0,0
18,50,-1,0,10,3,7,1,0,0
19,40,3,-1,10,3,8,1,0,0
20,30,-1,0,10,3,9,1,0,0
21,30,-1,-1,10,3,9,2,0,0
22,20,2,-1,10,3,10,2,0,0
23,10,7,0,10,3,11,2,0,0
24,-10,13,2,20,3,12,2,0,0
25,-50,15,4,40,3,13,2,0,0
27,-150,17,5,50,3,15,2,0,1
28,-200,19,5,50,3,16,2,0,1
29,-140,17,6,60,4,16,2,0,1
30,-140,17,5,50,4,16,3,0,1
31,-190,20,5,50,4,17,3,0,1
32,-130,25,6,60,5,17,3,0,1
33,-10,29,12,120,6,17,3,0,1
34,130,34,14,140,7,17,3,0,1
35,300,34,17,170,1,17,3,0,1
36,470,38,17,170,2,17,3,0,1
37,280,36,19,190,2,18,3,0,1
38,460,37,18,180,1,18,3,0,1
39,280,40,18,180,1,19,3,0,1
40,80,45,20,200,1,20,3,0,1
1,10,2,0,10,1,0,0,0,0
2,0,2,0,10,1,1,0,0,0
3,-10,5,0,10,1,2,0,0,0
4,-20,1,0,10,1,3,0,0,0
5,-20,5,0,10,1,3,1,0,0
6,-10,9,1,10,2,3,1,0,0
7,0,9,1,10,2,3,3,0,0
9,25.0,11,1,10,4,3,3,1,0
10,5.0,9,2,20,4,4,3,1,0
11,15.0,9,1,10,5,4,3,1,0
12,5.0,13,1,10,5,5,3,1,0
13,-15.0,14,2,20,5,6,3,1,0
14,5.0,16,2,20,6,6,3,1,0
15,-35.0,18,4,40,6,7,3,1,0
16,-75.0,16,4,40,6,8,3,1,0
18,-45.0,12,3,30,7,9,3,2,0
19,-45.0,14,3,30,7,9,4,2,0
20,-75.0,16,3,30,7,10,4,2,0
22,-75.0,19,4,40,8,11,4,2,1
23,-115.0,24,4,40,8,12,4,2,1
24,-175.0,26,6,60,8,13,4,2,1
25,-95.0,23,8,80,9,13,4,2,1
26,-25.0,24,7,70,1,13,4,2,1
27,-105.0,23,8,80,1,14,4,2,1
29,-255.0,28,8,80,1,16,4,2,2
30,-345.0,31,9,90,1,17,4,2,2
32,-285.0,33,9,90,2,18,4,3,2
33,-175.0,34,11,110,3,18,4,3,2
34,-345.0,29,17,170,3,19,4,3,2
35,-485.0,32,14,140,3,20,4,3,2
36,-485.0,32,16,160,3,20,5,3,2
37,-325.0,32,16,160,1,20,5,3,2
38,-165.0,36,16,160,2,20,5,3,2
39,15.0,34,18,180,1,20,5,3,2
40,-155.0,35,17,170,1,21,5,3,2
41,15.0,36,17,170,2,21,5,3,2
42,195.0,37,18,180,1,21,5,3,2
43,15.0,40,18,180,1,22,5,3,2
1,-10,-2,0,10,0,1,0,0,0
2,-20,0,-1,10,0,2,0,0,0
4,5.0,3,0,10,1,2,0,1,0
5,-5.0,1,0,10,1,3,0,1,0
7,0.0,-3,-1,10,2,4,0,2,0
8,-10.0,1,-1,10,2,5,0,2,0
9,-20.0,1,0,10,2,6,0,2,0
10,-30.0,0,0,10,2,7,0,2,0
11,-20.0,-2,0,10,1,7,0,2,0
12,-30.0,-2,-1,10,1,8,0,2,0
13,-20.0,-4,-1,10,2,8,0,2,0
14,-20.0,-3,-1,10,2,8,1,2,0
15,-30.0,-4,-1,10,2,9,1,2,0
16,-20.0,0,-1,10,3,9,1,2,0
17,-10.0,0,0,10,4,9,1,2,0
19,-30.0,3,0,10,4,11,1,2,1
20,-40.0,6,0,10,4,12,1,2,1
21,-50.0,7,1,10,4,13,1,2,1
22,-40.0,9,1,10,1,13,1,2,1
23,-60.0,11,2,20,1,14,1,2,1
24,-60.0,11,2,20,1,14,2,2,1
25,-60.0,10,3,30,1,14,3,2,1
26,-30.0,14,3,30,2,14,3,2,1
28,-10.0,15,4,40,3,15,3,3,1
29,40.0,16,5,50,1,15,3,3,1
30,90.0,14,5,50,2,15,3,3,1
31,50.0,15,4,40,2,16,3,3,1
32,100.0,16,5,50,1,16,3,3,1
34,135.0,15,4,40,2,17,3,4,1
35,205.0,15,7,70,1,17,3,4,1
36,135.0,19,7,70,1,18,3,4,1
37,45.0,20,9,90,1,19,3,4,1
38,45.0,20,10,100,1,19,4,4,1
39,-55.0,26,10,100,1,20,4,4,1
40,75.0,31,13,130,1,20,4,4,1
42,460.0,31,16,160,1,20,4,5,1
43,310.0,36,15,150,1,21,4,5,1
1,10,1,0,10,1,0,0,0,0
2,20,1,0,10,2,0,0,0,0
3,10,3,0,10,2,1,0,0,0
4,20,4,0,10,1,1,0,0,0
5,30,8,0,10,2,1,0,0,0
6,40,9,1,10,1,1,0,0,0
7,50,13,1,10,1,1,0,0,0
8,30,12,2,20,1,2,0,0,0
9,90,8,2,20,1,2,0,0,0
10,80,7,1,10,1,3,0,0,0
11,80,6,1,10,1,3,1,0,0
12,90,6,1,10,2,3,1,0,0
13,80,3,1,10,2,4,1,0,0
14,70,0,0,10,2,5,1,0,0
15,60,3,0,10,2,6,1,0,0
16,70,6,0,10,3,6,1,0,0
17,70,2,1,10,3,6,2,0,0
18,60,-1,0,10,3,7,2,0,0
19,50,-3,-1,10,3,8,2,0,0
20,60,-4,-1,10,4,8,2,0,0
21,60,-3,-1,10,4,8,3,0,0
22,50,0,-1,10,4,9,3,0,0
23,40,0,0,10,4,10,3,0,0
24,30,-1,0,10,4,11,3,0,0
25,40,-4,-1,10,5,11,3,0,0
26,30,-4,-2,10,5,12,3,0,0
27,20,0,-2,10,5,13,3,0,0
28,30,-1,0,10,6,13,3,0,0
29,20,1,-1,10,6,14,3,0,0
30,30,1,0,10,1,14,3,0,0
31,20,-5,0,10,1,15,3,0,0
32,10,-8,-2,10,1,16,3,0,0
