Shoe,Total Player Profit,Net Profit Change,Player Wins,Dealer Wins,Ties
1,80,80,1,20,3
2,95.0,15.0,1,22,5
3,405.0,310.0,1,21,4
4,375.0,-30,2,23,3
5,590.0,215.0,1,19,2
6,450.0,-140,1,21,4
7,1160.0,710.0,1,16,2
8,1665.0,505.0,10,21,4
9,1420.0,-245.0,1,26,0
10,1300.0,-120.0,1,19,2
11,1870.0,570.0,2,17,8
12,1885.0,15.0,1,23,4
13,1865.0,-20.0,1,22,3
14,1035.0,-830.0,1,24,2
15,1215.0,180.0,3,21,3
16,2240.0,1025.0,1,16,5
17,1900.0,-340.0,2,24,4
18,2240.0,340.0,2,16,4
19,2470.0,230.0,2,21,4
20,2805.0,335.0,2,18,1
21,2305.0,-500.0,2,22,4
22,2190.0,-115.0,2,17,6
23,2435.0,245.0,1,17,3
24,2365.0,-70.0,8,21,2
25,1755.0,-610,1,29,4
26,1375.0,-380.0,4,19,5
27,1190.0,-185.0,1,21,5
28,1760.0,570.0,1,20,4
29,1870.0,110.0,6,16,5
30,1965.0,95.0,1,24,2
31,2380.0,415.0,6,15,3
32,1670.0,-710,2,22,6
33,1290.0,-380.0,3,26,3
34,1395.0,105.0,1,14,5
35,1110.0,-285.0,5,24,2
36,2025.0,915.0,1,16,5
37,1935.0,-90,1,23,4
38,2610.0,675.0,9,18,4
39,2670.0,60.0,1,24,4
40,3290.0,620.0,5,12,8
41,2975.0,-315.0,1,21,4
42,2465.0,-510.0,1,22,4
43,2305.0,-160.0,3,26,1
44,2140.0,-165.0,1,28,4
45,2300.0,160.0,3,15,6
46,2655.0,355.0,3,14,9
47,2615.0,-40.0,1,22,7
48,2300.0,-315.0,3,30,6
49,2080.0,-220.0,1,21,5
50,1810.0,-270,8,22,4
51,2090.0,280,1,21,2
52,2105.0,15.0,4,21,9
53,2220.0,115.0,2,20,3
54,1810.0,-410,3,27,5
55,1230.0,-580,1,24,2
56,590.0,-640,4,24,4
57,860.0,270.0,6,18,1
58,695.0,-165.0,1,19,4
59,905.0,210.0,2,19,3
60,820.0,-85.0,2,18,3
61,835.0,15.0,9,17,3
62,755.0,-80.0,1,23,1
63,720.0,-35.0,1,22,2
64,1115.0,395.0,3,18,5
65,725.0,-390,2,20,4
66,850.0,125.0,2,20,3
67,900.0,50.0,6,16,6
68,945.0,45.0,2,21,3
69,1100.0,155.0,2,22,3
70,1030.0,-70.0,1,20,4
71,1020.0,-10.0,2,22,2
72,535.0,-485.0,2,22,5
73,420.0,-115.0,2,21,4
74,745.0,325.0,1,17,1
75,715.0,-30.0,2,21,2
76,860.0,145.0,1,19,4
77,725.0,-135.0,2,24,2
78,935.0,210.0,4,21,3
79,1210.0,275.0,5,16,7
80,1105.0,-105.0,2,20,6
